M,theta,beta_lower,beta_upper
2.000000,0,30.000000,90.000000
2.000000,1,30.811426,89.399727
2.000000,2,31.646288,88.797809
2.000000,3,32.505539,88.192572
2.000000,4,33.390236,87.582283
2.000000,5,34.301575,86.965115
2.000000,6,35.240917,86.339110
2.000000,7,36.209830,85.702132
2.000000,8,37.210136,85.051814
2.000000,9,38.243984,84.385486
2.000000,10,39.313932,83.700080
2.000000,11,40.423072,82.992015
2.000000,12,41.575195,82.257022
2.000000,13,42.775023,81.489909
2.000000,14,44.028561,80.684217
2.000000,15,45.343617,79.831687
2.000000,16,46.730641,78.921432
2.000000,17,48.204127,77.938527
2.000000,18,49.785132,76.861492
2.000000,19,51.506270,75.657297
2.000000,20,53.422940,74.270137
2.000000,21,55.644290,72.590465
2.000000,22,58.456561,70.331647
3.000000,0,19.471221,90.000000
3.000000,1,20.157561,89.649912
3.000000,2,20.866740,89.299296
3.000000,3,21.598967,88.947619
3.000000,4,22.354422,88.594339
3.000000,5,23.133257,88.238901
3.000000,6,23.935609,87.880730
3.000000,7,24.761601,87.519229
3.000000,8,25.611354,87.153766
3.000000,9,26.485000,86.783678
3.000000,10,27.382691,86.408250
3.000000,11,28.304611,86.026719
3.000000,12,29.250996,85.638253
3.000000,13,30.222147,85.241943
3.000000,14,31.218450,84.836791
3.000000,15,32.240400,84.421682
3.000000,16,33.288628,83.995372
3.000000,17,34.363929,83.556451
3.000000,18,35.467306,83.103313
3.000000,19,36.600016,82.634106
3.000000,20,37.763634,82.146671
3.000000,21,38.960135,81.638467
3.000000,22,40.192002,81.106458
3.000000,23,41.462380,80.546965
3.000000,24,42.775287,79.955450
3.000000,25,44.135929,79.326212
3.000000,26,45.551169,78.651908
3.000000,27,47.030277,77.922806
3.000000,28,48.586178,77.125544
3.000000,29,50.237680,76.240892
3.000000,30,52.013840,75.239388
3.000000,31,53.963656,74.071653
3.000000,32,56.182115,72.642335
3.000000,33,58.908884,70.711418
3.000000,34,63.673175,66.749358
4.000000,0,14.477512,90.000000
4.000000,1,15.131265,89.719941
4.000000,2,15.812579,89.439529
4.000000,3,16.521451,89.158407
4.000000,4,17.257761,88.876216
4.000000,5,18.021291,88.592587
4.000000,6,18.811730,88.307142
4.000000,7,19.628693,88.019492
4.000000,8,20.471740,87.729230
4.000000,9,21.340391,87.435930
4.000000,10,22.234146,87.139146
4.000000,11,23.152503,86.838401
4.000000,12,24.094977,86.533190
4.000000,13,25.061119,86.222970
4.000000,14,26.050529,85.907152
4.000000,15,27.062877,85.585100
4.000000,16,28.097914,85.256116
4.000000,17,29.155495,84.919434
4.000000,18,30.235589,84.574203
