x,f(x)
0.000000,0.000000
0.005000,0.000000
0.010000,0.000000
0.015000,0.000000
0.020000,0.000000
0.025000,0.000000
0.030000,0.000000
0.035000,0.000000
0.040000,0.000000
0.045000,0.000000
0.050000,0.000000
0.055000,0.000000
0.060000,0.000000
0.065000,0.000000
0.070000,0.000000
0.075000,0.000000
0.080000,0.000000
0.085000,0.000000
0.090000,0.000000
0.095000,0.000000
0.100000,0.000000
0.105000,0.000000
0.110000,0.000000
0.115000,0.000000
0.120000,0.000000
0.125000,0.000000
0.130000,0.000000
0.135000,0.000000
0.140000,0.000000
0.145000,0.000000
0.150000,0.000000
0.155000,0.000000
0.160000,0.000000
0.165000,0.000000
0.170000,0.000000
0.175000,0.000000
0.180000,0.000000
0.185000,0.000000
0.190000,0.000000
0.195000,0.000000
0.200000,0.000000
0.205000,0.000000
0.210000,0.000000
0.215000,0.000000
0.220000,0.000000
0.225000,0.000000
0.230000,0.000000
0.235000,0.000000
0.240000,0.000000
0.245000,0.000000
0.250000,0.000000
0.255000,0.000000
0.260000,0.000000
0.265000,0.000000
0.270000,0.000000
0.275000,0.000000
0.280000,0.000000
0.285000,0.000000
0.290000,0.000000
0.295000,0.000000
0.300000,0.000000
0.305000,0.000000
0.310000,0.000000
0.315000,0.000000
0.320000,0.000000
0.325000,0.000000
0.330000,0.000000
0.335000,0.000000
0.340000,0.000001
0.345000,0.000001
0.350000,0.000002
0.355000,0.000004
0.360000,0.000007
0.365000,0.000013
0.370000,0.000022
0.375000,0.000037
0.380000,0.000060
0.385000,0.000097
0.390000,0.000154
0.395000,0.000240
0.400000,0.000369
0.405000,0.000557
0.410000,0.000828
0.415000,0.001213
0.420000,0.001751
0.425000,0.002492
0.430000,0.003496
0.435000,0.004839
0.440000,0.006609
0.445000,0.008909
0.450000,0.011859
0.455000,0.015594
0.460000,0.020259
0.465000,0.026016
0.470000,0.033032
0.475000,0.041479
0.480000,0.051529
0.485000,0.063349
0.490000,0.077094
0.495000,0.092899
0.500000,0.110876
0.505000,0.131104
0.510000,0.153623
0.515000,0.178433
0.520000,0.205485
0.525000,0.234679
0.530000,0.265863
0.535000,0.298835
0.540000,0.333338
0.545000,0.369071
0.550000,0.405686
0.555000,0.442798
0.560000,0.479990
0.565000,0.516824
0.570000,0.552842
0.575000,0.587585
0.580000,0.620592
0.585000,0.651417
0.590000,0.679635
0.595000,0.704850
0.600000,0.726702
0.605000,0.744879
0.610000,0.759117
0.615000,0.769209
0.620000,0.775011
0.625000,0.776439
0.630000,0.773476
0.635000,0.766170
0.640000,0.754633
0.645000,0.739040
0.650000,0.719626
0.655000,0.696679
0.660000,0.670535
0.665000,0.641574
0.670000,0.610206
0.675000,0.576869
0.680000,0.542017
0.685000,0.506108
0.690000,0.469599
0.695000,0.432934
0.700000,0.396537
0.705000,0.360800
0.710000,0.326081
0.715000,0.292694
0.720000,0.260908
0.725000,0.230940
0.730000,0.202957
0.735000,0.177077
0.740000,0.153365
0.745000,0.131844
0.750000,0.112493
0.755000,0.095253
0.760000,0.080037
0.765000,0.066730
0.770000,0.055201
0.775000,0.045304
0.780000,0.036886
0.785000,0.029792
0.790000,0.023868
0.795000,0.018968
0.800000,0.014950
0.805000,0.011688
0.810000,0.009062
0.815000,0.006968
0.820000,0.005314
0.825000,0.004019
0.830000,0.003014
0.835000,0.002242
0.840000,0.001654
0.845000,0.001209
0.850000,0.000877
0.855000,0.000631
0.860000,0.000450
0.865000,0.000318
0.870000,0.000223
0.875000,0.000155
0.880000,0.000107
0.885000,0.000073
0.890000,0.000050
0.895000,0.000033
0.900000,0.000022
0.905000,0.000015
0.910000,0.000010
0.915000,0.000006
0.920000,0.000004
0.925000,0.000003
0.930000,0.000002
0.935000,0.000001
0.940000,0.000001
0.945000,0.000000
0.950000,0.000000
0.955000,0.000000
0.960000,0.000000
0.965000,0.000000
0.970000,0.000000
0.975000,0.000000
0.980000,0.000000
0.985000,0.000000
0.990000,0.000000
0.995000,0.000000
1.000000,0.000000
