x,f(x)
0.000000,0.001410
0.005000,0.001678
0.010000,0.001692
0.015000,0.001498
0.020000,0.001670
0.025000,0.002147
0.030000,0.002207
0.035000,0.001789
0.040000,0.001806
0.045000,0.001885
0.050000,0.001956
0.055000,0.002104
0.060000,0.002239
0.065000,0.002027
0.070000,0.001550
0.075000,0.001792
0.080000,0.002208
0.085000,0.002178
0.090000,0.002065
0.095000,0.001969
0.100000,0.001939
0.105000,0.001695
0.110000,0.001662
0.115000,0.002263
0.120000,0.002445
0.125000,0.002052
0.130000,0.001830
0.135000,0.001796
0.140000,0.001858
0.145000,0.001772
0.150000,0.001738
0.155000,0.002298
0.160000,0.002636
0.165000,0.002157
0.170000,0.001767
0.175000,0.001769
0.180000,0.001784
0.185000,0.001730
0.190000,0.001526
0.195000,0.001638
0.200000,0.002400
0.205000,0.002806
0.210000,0.002408
0.215000,0.002175
0.220000,0.002352
0.225000,0.002364
0.230000,0.002064
0.235000,0.001422
0.240000,0.000732
0.245000,0.000743
0.250000,0.001136
0.255000,0.000806
0.260000,0.000011
0.265000,-0.000222
0.270000,0.000070
0.275000,0.000372
0.280000,0.000497
0.285000,0.000148
0.290000,-0.000537
0.295000,-0.000580
0.300000,0.000241
0.305000,0.000758
0.310000,0.000336
0.315000,-0.000320
0.320000,-0.000598
0.325000,-0.000484
0.330000,0.000090
0.335000,0.000854
0.340000,0.000861
0.345000,-0.000167
0.350000,-0.001089
0.355000,-0.000913
0.360000,-0.000036
0.365000,0.000729
0.370000,0.001120
0.375000,0.000937
0.380000,-0.000109
0.385000,-0.001472
0.390000,-0.001850
0.395000,-0.000754
0.400000,0.000863
0.405000,0.001879
0.410000,0.002033
0.415000,0.001392
0.420000,-0.000171
0.425000,-0.002311
0.430000,-0.003750
0.435000,-0.003304
0.440000,-0.001110
0.445000,0.001699
0.450000,0.004218
0.455000,0.006047
0.460000,0.006573
0.465000,0.004823
0.470000,0.000441
0.475000,-0.005602
0.480000,-0.011638
0.485000,-0.016406
0.490000,-0.019198
0.495000,-0.019066
0.500000,-0.014443
0.505000,-0.003840
0.510000,0.013276
0.515000,0.036557
0.520000,0.065668
0.525000,0.100835
0.530000,0.142390
0.535000,0.189954
0.540000,0.242292
0.545000,0.298024
0.550000,0.356362
0.555000,0.417071
0.560000,0.479743
0.565000,0.543229
0.570000,0.605830
0.575000,0.666042
0.580000,0.723101
0.585000,0.776815
0.590000,0.826905
0.595000,0.872485
0.600000,0.912158
0.605000,0.944626
0.610000,0.969273
0.615000,0.986259
0.620000,0.996094
0.625000,0.999036
0.630000,0.994787
0.635000,0.982670
0.640000,0.962142
0.645000,0.933284
0.650000,0.896947
0.655000,0.854510
0.660000,0.807400
0.665000,0.756655
0.670000,0.702759
0.675000,0.645781
0.680000,0.585735
0.685000,0.522959
0.690000,0.458361
0.695000,0.393438
0.700000,0.330085
0.705000,0.270292
0.710000,0.215814
0.715000,0.167929
0.720000,0.127314
0.725000,0.094046
0.730000,0.067706
0.735000,0.047520
0.740000,0.032530
0.745000,0.021730
0.750000,0.014173
0.755000,0.009030
0.760000,0.005624
0.765000,0.003425
0.770000,0.002041
0.775000,0.001191
0.780000,0.000681
0.785000,0.000381
0.790000,0.000209
0.795000,0.000113
0.800000,0.000060
0.805000,0.000031
0.810000,0.000016
0.815000,0.000008
0.820000,0.000004
0.825000,0.000002
0.830000,0.000001
0.835000,0.000000
0.840000,0.000000
0.845000,0.000000
0.850000,0.000000
0.855000,0.000000
0.860000,0.000000
0.865000,0.000000
0.870000,0.000000
0.875000,0.000000
0.880000,0.000000
0.885000,0.000000
0.890000,0.000000
0.895000,0.000000
0.900000,0.000000
0.905000,0.000000
0.910000,0.000000
0.915000,0.000000
0.920000,0.000000
0.925000,0.000000
0.930000,0.000000
0.935000,0.000000
0.940000,0.000000
0.945000,0.000000
0.950000,0.000000
0.955000,0.000000
0.960000,0.000000
0.965000,0.000000
0.970000,0.000000
0.975000,0.000000
0.980000,0.000000
0.985000,0.000000
0.990000,0.000000
0.995000,0.000000
1.000000,0.000000
